type,_id,city,first_name,last_name,middle_name,loc[0],loc[1],customer_key,gender,age,county,state,street_address,zip_code
 customers,59f307eb1f0d6766995d0c87,GRAYTOWN,Cyrus,Porter,William,-83.26128,41.564723,customer_key_0,male,33,OTTAWA,OH,6583 RUSH ST,43432
 customers,59f307eb1f0d6766995d0c88,BILLINGS,German,Benitez,Carl,-108.194508,45.978288,customer_key_1,male,60,YELLOWSTONE,MT,9680 MT PROSPECT RD,59117
 customers,59f307eb1f0d6766995d0c89,ROLLINSFORD,Jonas,Cummings,Donald,-70.930684,43.285282,customer_key_2,male,34,STRAFFORD,NH,9405 STEVENSON IB DAN RYAN IB ER,3805
 customers,59f307eb1f0d6766995d0c8a,HUNTINGTON,Emmett,Wu,Kevin,-73.006184,44.318091,customer_key_3,male,21,CHITTENDEN,VT,4016 76TH PL,5462
 customers,59f307eb1f0d6766995d0c8b,EAST CORINTH,Laurence,Gregory,Paul,-72.210962,44.077918,customer_key_4,male,28,ORANGE,VT,5393 KENNEDY DIVERSEY AV ER,5040
 customers,59f307eb1f0d6766995d0c8c,KANSAS CITY,Sindy,Morton,Laura,-94.356728,39.035038,customer_key_5,female,38,JACKSON,MO,341 EDBROOKE AVE,64183
 customers,59f307eb1f0d6766995d0c8d,WEISER,Evelyn,Hull,Amy,-116.859937,44.304193,customer_key_6,female,21,WASHINGTON,ID,2184 SEMINARY CT,83672
 customers,59f307eb1f0d6766995d0c8e,SEVIER,Ailene,Wu,Theresa,-112.310757,38.578516,customer_key_7,female,57,SEVIER,UT,6848 18TH ST,84766
 customers,59f307eb1f0d6766995d0c8f,ROBINSON,Hunter,Webster,Donald,-99.689234,46.979659,customer_key_8,male,49,KIDDER,ND,1175 KENNEDY KIMBALL AV ER,58478
 customers,59f307eb1f0d6766995d0c90,PUEBLO,Fatimah,Arnold,Bonnie,-104.552299,38.128626,customer_key_9,female,62,PUEBLO,CO,1254 IRVING AVE,81014
 customers,59f307eb1f0d6766995d0c91,WILMINGTON,Eliseo,Hutchinson,Arthur,-75.597047,39.564499,customer_key_10,male,39,NEW CASTLE,DE,7248 HURON ST,19887
 customers,59f307eb1f0d6766995d0c92,SAN JOSE,Jordan,Gutierrez,Kevin,-121.705327,37.189396,customer_key_11,male,40,SANTA CLARA,CA,1468 136TH PL,95123
 customers,59f307eb1f0d6766995d0c93,BILLINGS,Arturo,Benton,Dale,-108.387392,45.686966,customer_key_12,male,38,YELLOWSTONE,MT,6953 MUSKEGON AVE,59101
 customers,59f307eb1f0d6766995d0c94,ELK MOUNTAIN,Sharan,Mayer,Susan,-106.414629,41.687359,customer_key_13,female,44,CARBON,WY,82 KOLMAR AVE,82324
 customers,59f307eb1f0d6766995d0c95,LAS VEGAS,Sol,Swanson,David,-114.972061,35.927901,customer_key_14,male,55,CLARK,NV,7923 EISENHOWER CANAL XR,89160
 customers,59f307eb1f0d6766995d0c96,CAMBRIDGE,Norman,Perez,Alice,-72.881162,44.62218,customer_key_15,female,20,LAMOILLE,VT,6134 WACKER RAMP,5444
 customers,59f307eb1f0d6766995d0c97,CARSON CITY,Dorsey,Conley,Richard,-119.752626,39.202517,customer_key_16,male,32,CARSON CITY,NV,6095 HOLDEN CT,89706
 customers,59f307eb1f0d6766995d0c98,EOLIA,Cicely,Spence,Renee,-90.980854,39.280278,customer_key_17,female,65,PIKE,MO,2105 MIES VAN DER ROHE WAY,63344
 customers,59f307eb1f0d6766995d0c99,SAN CRISTOBAL,Nestor,Nunez,Dale,-105.63093,36.619304,customer_key_18,male,46,TAOS,NM,7065 HERMOSA AVE,87564
 customers,59f307eb1f0d6766995d0c9a,PALMYRA,Claudio,Nash,Morgan,-88.59712,42.893937,customer_key_19,male,42,JEFFERSON,WI,5625 SAYRE AVE,53156
 customers,59f307eb1f0d6766995d0c9b,SCOTTS,Mckinley,Mcpherson,Samuel,-81.00762,35.831037,customer_key_20,male,39,IREDELL,NC,8106 TANKFARM RD,28699
 customers,59f307eb1f0d6766995d0c9c,HELIX,Melanie,Merritt,Lynette,-118.755877,45.909854,customer_key_21,female,78,UMATILLA,OR,1057 43RD ST,97835
 customers,59f307eb1f0d6766995d0c9d,GAUTIER,Kristine,Li,Margaret,-88.66487,30.421676,customer_key_22,female,23,JACKSON,MS,1379 EDENS FOSTER AV XR,39553
 customers,59f307eb1f0d6766995d0c9e,HAMILTON,Carina,Bridges,Theresa,-114.165774,46.234189,customer_key_23,female,27,RAVALLI,MT,2471 KENNEDY ONTARIO ST ER,59840
 customers,59f307eb1f0d6766995d0c9f,MEMPHIS,Isreal,Maxwell,Dale,-89.971538,35.201738,customer_key_24,male,76,SHELBY,TN,3078 LYNN WHITE DR,38193
